ProductID,ProductName,Category,UnitCostUSD,LeadTimeDays
95,Accelerator Fishing Neck Sub,Downhole Tools & MWD/LWD Components,2100.0,87
96,Near-Bit Reamer Stabilizer Blade,Downhole Tools & MWD/LWD Components,6400.0,15
97,"Downhole Filter Sub 200 Mesh 4-3/4""",Downhole Tools & MWD/LWD Components,77100.0,49
98,Orienting Sub Mule Shoe Assembly,Downhole Tools & MWD/LWD Components,7400.0,37
99,"Crown Block Sheave Assembly 36""",Surface & Ancillary Equipment Parts,24800.0,69
100,Traveling Block Hook Assembly 500T,Surface & Ancillary Equipment Parts,19400.0,23
101,Drawworks Brake Drum Friction Lining,Surface & Ancillary Equipment Parts,61900.0,80
102,"Deadline Anchor Clamp Assembly 1-3/8""",Surface & Ancillary Equipment Parts,49600.0,38
103,Mast Guy Wire Anchor Swivel Plate,Surface & Ancillary Equipment Parts,67000.0,59
104,V-Door Ramp Roller Assembly,Surface & Ancillary Equipment Parts,17400.0,19
105,Catwalk Chain Assembly Heavy Duty,Surface & Ancillary Equipment Parts,56500.0,52
106,Pipe Rack Stanchion Post Assembly,Surface & Ancillary Equipment Parts,36900.0,66
107,Iron Roughneck Torque Wrench Die,Surface & Ancillary Equipment Parts,73600.0,13
108,"Spider Slip Insert Hard-Facing 5""",Surface & Ancillary Equipment Parts,57700.0,89
109,Safety Clamp Chain Tong Die,Surface & Ancillary Equipment Parts,9700.0,58
110,"Drill Line 6x19 IWRC 1-1/4"" 2000 ft",Surface & Ancillary Equipment Parts,62300.0,20
111,Crown-O-Matic Safety Device Latch,Surface & Ancillary Equipment Parts,22300.0,31
112,Accumulator Unit Bladder 10-Gallon,Surface & Ancillary Equipment Parts,46300.0,24
